COUNTA of No,,Category,,,,,,,,,
Namespace,Variable,Category,KS1 + KS2 Ages 3 to 11 Mixed sex,KS1 only Ages 3 to 7 Mixed sex,KS2 Ages 7 to 11 Mixed sex,KS4 + KS5  Ages 11 to 18 Mixed sex,KS4 Ages 11 to 16 Mixed sex,Private Ages 10 to 19 Mixed sex ,Private Ages 2 to 11 Mixed sex,Private Ages 4 to 18 Mixed sex,Grand Total
,ATT8SCRENG_BOYS,,,,,1,1,1,,1,4
,ATT8SCRENG_EAL,,,,,1,1,1,,1,4
,ATT8SCRENG_FSM6CLA1A,,,,,1,1,1,,1,4
,ATT8SCRENG_GIRLS,,,,,1,1,1,,1,4
,ATT8SCRENG_NFSM6CLA1A,,,,,1,1,1,,1,4
,ATT8SCRENG_NMOB,,,,,1,1,1,,1,4
,ATT8SCRMAT,,,,,1,1,1,,1,4
,ATT8SCRMAT_BOYS,,,,,1,1,1,,1,4
,ATT8SCRMAT_EAL,,,,,1,1,1,,1,4
,ATT8SCRMAT_FSM6CLA1A,,,,,1,1,1,,1,4
,ATT8SCRMAT_GIRLS,,,,,1,1,1,,1,4
,ATT8SCRMAT_NFSM6CLA1A,,,,,1,1,1,,1,4
,ATT8SCRMAT_NMOB,,,,,1,1,1,,1,4
,ATT8SCROPEN,,,,,1,1,1,,1,4
,ATT8SCROPEN_BOYS,,,,,1,1,1,,1,4
,ATT8SCROPEN_EAL,,,,,1,1,1,,1,4
,ATT8SCROPEN_FSM6CLA1A,,,,,1,1,1,,1,4
,ATT8SCROPEN_GIRLS,,,,,1,1,1,,1,4
,ATT8SCROPEN_NFSM6CLA1A,,,,,1,1,1,,1,4
,ATT8SCROPEN_NMOB,,,,,1,1,1,,1,4
,ATT8SCROPENG,,,,,1,1,1,,1,4
,ATT8SCROPENG_BOYS,,,,,1,1,1,,1,4
,ATT8SCROPENG_EAL,,,,,1,1,1,,1,4
,ATT8SCROPENG_FSM6CLA1A,,,,,1,1,1,,1,4
,ATT8SCROPENG_GIRLS,,,,,1,1,1,,1,4
,ATT8SCROPENG_NFSM6CLA1A,,,,,1,1,1,,1,4
,ATT8SCROPENG_NMOB,,,,,1,1,1,,1,4
,ATT8SCROPENNG,,,,,1,1,1,,1,4
,ATT8SCROPENNG_BOYS,,,,,1,1,1,,1,4
,ATT8SCROPENNG_EAL,,,,,1,1,1,,1,4
,ATT8SCROPENNG_FSM6CLA1A,,,,,1,1,1,,1,4
,ATT8SCROPENNG_GIRLS,,,,,1,1,1,,1,4
,ATT8SCROPENNG_NFSM6CLA1A,,,,,1,1,1,,1,4
,ATT8SCROPENNG_NMOB,,,,,1,1,1,,1,4
,AVGEBACFILL,,,,,1,1,1,,1,4
,AVGOPENFILL,,,,,1,1,1,,1,4
,BPUP,,,,,1,1,1,,1,4
,CONTFLAG,,,,,1,1,1,,1,4
,DIFFN_ATT8,,,,,1,1,1,,1,4
,EBACCAPS,,,,,1,1,1,,1,4
,EBACCAPS_BOYS,,,,,1,1,1,,1,4
,EBACCAPS_EAL,,,,,1,1,1,,1,4
,EBACCAPS_FSM6CLA1A,,,,,1,1,1,,1,4
,EBACCAPS_FSM6CLA1A_PREV,,,,,1,1,1,,1,4
,EBACCAPS_FSM6CLA1A_PREV2,,,,,1,1,1,,1,4
,EBACCAPS_GIRLS,,,,,1,1,1,,1,4
,EBACCAPS_NFSM6CLA1A,,,,,1,1,1,,1,4
,EBACCAPS_NFSM6CLA1A_PREV,,,,,1,1,1,,1,4
,EBACCAPS_NFSM6CLA1A_PREV2,,,,,1,1,1,,1,4
,EBACCAPS_NMOB,,,,,1,1,1,,1,4
,EBACCAPS_PREV,,,,,1,1,1,,1,4
,EBACCAPS_PREV2,,,,,1,1,1,,1,4
,EDITION,,,,,1,1,1,,1,4
,EGENDER,,,,,1,1,1,,1,4
,ESTAB,,,,,1,1,1,,1,4
,FEEDER,,,,,1,1,1,,1,4
,GPUP,,,,,1,1,1,,1,4
,ICLOSE,,,,,1,1,1,,1,4
,LEA,,,,,1,1,1,,1,4
,NFTYPE,,,,,1,1,1,,1,4
,NUMBOYS,,,,,1,1,1,,1,4
,NUMGIRLS,,,,,1,1,1,,1,4
,P8_BANDING,,,,,1,1,1,,1,4
,P8_BANDING_PREV,,,,,1,1,1,,1,4
,P8_BANDING_PREV2,,,,,1,1,1,,1,4
,P8CILOW_PREV,,,,,1,1,1,,1,4
,P8CILOW_PREV2,,,,,1,1,1,,1,4
,P8CIUPP_PREV,,,,,1,1,1,,1,4
,P8CIUPP_PREV2,,,,,1,1,1,,1,4
,P8MEA_PREV,,,,,1,1,1,,1,4
,P8MEA_PREV2,,,,,1,1,1,,1,4
,P8PUP_PREV,,,,,1,1,1,,1,4
,P8PUP_PREV2,,,,,1,1,1,,1,4
,PBEBACC_94,,,,,1,1,1,,1,4
,PBEBACC_95,,,,,1,1,1,,1,4
,PBEBACC_E_PTQ_EE,,,,,1,1,1,,1,4
,PBL2BASICS_94,,,,,1,1,1,,1,4
,PBL2BASICS_95,,,,,1,1,1,,1,4
,PBPUP,,,,,1,1,1,,1,4
,PCODE,,,,,1,1,1,,1,4
,PCON_CODE,,,,,1,1,1,,1,4
,PCON_NAME,,,,,1,1,1,,1,4
,PGEBACC_94,,,,,1,1,1,,1,4
,PGEBACC_95,,,,,1,1,1,,1,4
,PGEBACC_E_PTQ_EE,,,,,1,1,1,,1,4
,PGL2BASICS_94,,,,,1,1,1,,1,4
,PGL2BASICS_95,,,,,1,1,1,,1,4
,PGPUP,,,,,1,1,1,,1,4
,PSEN_ALL4,,,,,1,1,,,,2
,PSENE4,,,,,1,1,,,,2
,PSENK4,,,,,1,1,,,,2
,PT5EM_94,,,,,1,1,1,,1,4
,PT5EM_94_PREV,,,,,1,1,1,,1,4
